[ 2025-02-24 12:51:28,995 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-24 12:51:39,767 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-24 12:51:39,767 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-24 12:51:39,769 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-24 12:51:39,847 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-24 12:51:39,848 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-24 12:51:39,860 ] 27 root - INFO - Initiate the data Validation
[ 2025-02-24 12:51:39,892 ] 32 root - INFO - Required number of columns:2
[ 2025-02-24 12:51:39,893 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-24 12:51:39,893 ] 32 root - INFO - Required number of columns:2
[ 2025-02-24 12:51:39,893 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-24 12:51:40,120 ] 29 root - INFO - data Validation Completed
[ 2025-02-24 12:51:40,120 ] 34 root - INFO - data Transformation started
[ 2025-02-24 12:51:40,120 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-24 12:51:40,121 ] 65 root - INFO - Starting data transformation
[ 2025-02-24 12:51:40,157 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-24 12:51:40,157 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-24 12:51:40,172 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-24 12:51:40,177 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-24 12:51:40,177 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-24 12:51:40,180 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-24 12:51:40,183 ] 38 root - INFO - data Transformation completed
[ 2025-02-24 12:51:40,183 ] 41 root - INFO - Model Training Started
[ 2025-02-24 12:56:41,740 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-24 12:56:41,741 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-24 12:56:41,742 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-24 12:56:41,773 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-24 12:56:41,773 ] 133 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_24_2025_12_51_23\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916456970306996, precision_score=0.9901507537688442, recall_score=0.9931451612903226), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9725913621262459, precision_score=0.9669694467382328, recall_score=0.9782790309106099))
[ 2025-02-24 12:56:41,777 ] 46 root - INFO - Model Training artifact created
